food,3
sound,3
yellow,1
through,3
human,0
yes,1
yet,1
ground,3
broom,3
young,1
to,3
shout,3
town,3
his,3
frown,3
quizzes,3
flew,3
using,3
now,3
cool,3
towel,3
prize,3
zoom,3
clown,3
she,1
round,3
blew,3
crown,3
yolk,0
zebra,3
our,3
out,3
flower,3
noon,3
please,3
moon,3
cloud,3
goes,3
new,3
knew,3
buzzing,3
about,3
yard,0
cow,3
Tuesday,3
chop,1
amount,3
buzz,3
usually,1
loud,3
yearly,1
into,3
yells,2
yourself,2
down,3
church,1
your,0
boat,1
use,3
two,3
quiz,3
too,3
was,3
threw,3
sizzle,3
shelf,1
thousand,3
present,3
count,3
grew,3
look,3
closing,3
fizz,3
yelled,0
do,3
is,3
juice,3
as,3
close,3
ship,1
again,2
boot,3
how,3
you,3
beach,1
used,3
itch,1
mountain,3
who,3
yesterday,0
yawn,0
mouth,3
sneeze,3
classroom,3
room,3
